asset_id,name,kind,latitude,longitude,nearest_km,detections_5km,high_conf_5km,total_frp_5km,max_frp_5km,detections_10km,high_conf_10km,total_frp_10km,max_frp_10km,detections_25km,high_conf_25km,total_frp_25km,max_frp_25km,days_exposed_10km,max_consecutive_days_10km,last_exposure_10km,risk_score,risk_level
129,Cargill SLU,port,41.3467937,2.1584881,11.96,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
134,"SETRAM, SA",port,41.3333592,2.143744,13.74,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
135,Decal,port,41.3274548,2.1510345,14.2,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
149,Transportes Martín,port,41.3302376,2.159612,13.74,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
148,SENSE US - SOLAR,port,41.3302053,2.1587987,13.76,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
147,Mosca Marítim,port,41.32946,2.1592858,13.83,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
146,TMA,port,41.3287809,2.1585876,13.91,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
145,Grup Sarbus TCC,port,41.3303852,2.1580289,13.75,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
144,Mare Combinato,port,41.3291622,2.1581544,13.88,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
143,Petromiralles,port,41.3285017,2.1575105,13.96,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
142,"Koalagás , SA",port,41.3266136,2.1525294,14.26,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
141,Terquimsa,port,41.3309704,2.1526794,13.79,0,0,0.0,0.0,0,0,0.0,0.0,44,0,57.6,4.2,0,0,,0.208,low
100,Puerto Pesquero de Conil,port,36.2949611,-6.1368761,21.4,0,0,0.0,0.0,0,0,0.0,0.0,2,0,11.3,8.9,0,0,,0.208,low
